datetime,sw radiation,temp 2m,cloud cover
2020-05-15 00:00:00,0.0,27.4,8
2020-05-15 01:00:00,0.0,27.5,7
2020-05-15 02:00:00,0.0,27.5,9
2020-05-15 03:00:00,0.0,27.4,6
2020-05-15 04:00:00,0.0,27.4,7
2020-05-15 05:00:00,10.0,27.4,3
2020-05-15 06:00:00,110.0,28.5,8
2020-05-15 07:00:00,285.0,29.7,15
2020-05-15 08:00:00,503.0,30.9,1
2020-05-15 09:00:00,682.0,32.1,2
2020-05-15 10:00:00,818.0,33.0,0
2020-05-15 11:00:00,891.0,33.8,0
2020-05-15 12:00:00,894.0,34.4,0
2020-05-15 13:00:00,828.0,34.4,0
2020-05-15 14:00:00,703.0,33.8,0
2020-05-15 15:00:00,529.0,32.8,1
2020-05-15 16:00:00,325.0,31.7,38
2020-05-15 17:00:00,106.0,30.7,17
2020-05-15 18:00:00,14.0,29.8,5
2020-05-15 19:00:00,0.0,29.3,10
2020-05-15 20:00:00,0.0,28.9,18
2020-05-15 21:00:00,0.0,28.5,4
2020-05-15 22:00:00,0.0,28.3,1
2020-05-15 23:00:00,0.0,28.1,1
2020-05-16 00:00:00,0.0,28.1,3
2020-05-16 01:00:00,0.0,28.0,4
2020-05-16 02:00:00,0.0,27.8,6
2020-05-16 03:00:00,0.0,27.6,6
2020-05-16 04:00:00,0.0,27.4,3
2020-05-16 05:00:00,10.0,27.6,1
2020-05-16 06:00:00,119.0,28.6,2
2020-05-16 07:00:00,307.0,29.8,2
2020-05-16 08:00:00,506.0,31.1,1
2020-05-16 09:00:00,683.0,32.5,1
2020-05-16 10:00:00,814.0,33.7,0
2020-05-16 11:00:00,885.0,34.6,0
2020-05-16 12:00:00,888.0,35.2,1
2020-05-16 13:00:00,825.0,35.3,3
2020-05-16 14:00:00,697.0,34.9,3
2020-05-16 15:00:00,524.0,34.1,26
2020-05-16 16:00:00,295.0,33.0,19
2020-05-16 17:00:00,125.0,31.6,40
2020-05-16 18:00:00,12.0,30.6,31
2020-05-16 19:00:00,0.0,29.7,7
2020-05-16 20:00:00,0.0,29.1,6
2020-05-16 21:00:00,0.0,28.7,8
2020-05-16 22:00:00,0.0,28.5,3
